Approach,Total_Time_s,Avg_Time_ms,Sequence1_Size,Sequence2_Size,Time_ms
SumCommon,0.9737085999950068,9.737085999950068,37,17,2.263499998662155
SumCommon,0.9737085999950068,9.737085999950068,37,27,3.430349999689497
SumCommon,0.9737085999950068,9.737085999950068,37,37,4.929249998895102
SumCommon,0.9737085999950068,9.737085999950068,37,47,6.281999998464016
SumCommon,0.9737085999950068,9.737085999950068,37,57,7.616700000653509
SumCommon,0.9737085999950068,9.737085999950068,37,67,8.948900001996662
SumCommon,0.9737085999950068,9.737085999950068,37,77,9.744099999807077
SumCommon,0.9737085999950068,9.737085999950068,37,87,11.300699999992503
SumCommon,0.9737085999950068,9.737085999950068,37,97,13.058250000540284
SumCommon,0.9737085999950068,9.737085999950068,47,7,1.2016499986202689
SumCommon,0.9737085999950068,9.737085999950068,47,17,2.9032500005996553
SumCommon,0.9737085999950068,9.737085999950068,47,27,4.4655000001512235
SumCommon,0.9737085999950068,9.737085999950068,47,37,6.291550000241841
SumCommon,0.9737085999950068,9.737085999950068,47,47,8.069699999396107
SumCommon,0.9737085999950068,9.737085999950068,47,57,9.735249999721418
SumCommon,0.9737085999950068,9.737085999950068,47,67,11.21314999909373
SumCommon,0.9737085999950068,9.737085999950068,47,77,12.977350001165178
SumCommon,0.9737085999950068,9.737085999950068,47,87,14.923750000889413
SumCommon,0.9737085999950068,9.737085999950068,47,97,16.278150000289315
SumCommon,0.9737085999950068,9.737085999950068,57,7,1.4567499983968446
SumCommon,0.9737085999950068,9.737085999950068,57,17,3.506750001179171
SumCommon,0.9737085999950068,9.737085999950068,57,27,5.556800000704243
SumCommon,0.9737085999950068,9.737085999950068,57,37,7.103849999111844
SumCommon,0.9737085999950068,9.737085999950068,57,47,9.596249999958673
SumCommon,0.9737085999950068,9.737085999950068,57,57,11.80815000043367
SumCommon,0.9737085999950068,9.737085999950068,57,67,13.93734999874141
SumCommon,0.9737085999950068,9.737085999950068,57,77,15.677200000936864
SumCommon,0.9737085999950068,9.737085999950068,57,87,17.53544999883161
SumCommon,0.9737085999950068,9.737085999950068,57,97,18.994299998666975
SumCommon,0.9737085999950068,9.737085999950068,67,7,1.7153999997390201
SumCommon,0.9737085999950068,9.737085999950068,67,17,4.10714999816264
SumCommon,0.9737085999950068,9.737085999950068,67,27,6.488200000603683
SumCommon,0.9737085999950068,9.737085999950068,67,37,8.880499999577296
SumCommon,0.9737085999950068,9.737085999950068,67,47,11.254400002144394
SumCommon,0.9737085999950068,9.737085999950068,67,57,13.93869999810704
SumCommon,0.9737085999950068,9.737085999950068,67,67,16.39755000178411
SumCommon,0.9737085999950068,9.737085999950068,67,77,18.80139999957464
SumCommon,0.9737085999950068,9.737085999950068,67,87,21.17749999888474
